miasto;dzielnica;ulica;cena;powierzchnia;cena_m2;pokoje;pietro;liczba_pieter;liczba_poziomow;liczba_lazienek;lazienka_powierzchnia;lazienka_wc;rynek;rok_budowy;liczba_sypialni;balkon;taras;balkon_powierzchnia;kuchnia_powierzchnia;kuchnia_typ;ogrodek_powierzchnia;typ_budynku;material_budowlany;stan_budynku;stan_nieruchomosci
Gdañsk;Wrzeszcz;al. Grunwaldzka;499 000;50,00;9980;2;3 / 3;3;;1;;;wtórny;1965;;Tak;;;;ODDZIELNA;;NISKI BLOK;CEG£A;;DOBRY
Gdañsk;Jasieñ;Potêgowska;554 000;80,00;6925;3;3 / 4;4;2;;;;wtórny;2013;2;Tak;Tak;;;;;Blok Mieszkalny;konstrukcja ¿elbetowa;;
Gdañsk;Oliwa;Maurycego Beniowskiego;799 999;67,38;11 872,94;3;parter / 4;4;;;;;wtórny;2014;;;;;;OTWARTA;;NISKI BLOK;;;BARDZO WYSOKI STANDARD
Gdañsk;Œródmieœcie;Chmielna;2 620 000;150,00;17 466,67;4;5 / 5;5;;;;;wtórny;2016;3;Tak;Tak;;;;;Apartamentowiec;;;
Gdañsk;Ujeœcisko-£ostowice;Ul. Niepo³omicka 46;Zapytaj o c;41,41;;2;parter;;;;;;pierwotny;2021;;;;;;;13,49;;;;
Gdañsk;Ujeœcisko-£ostowice;Ul. Niepo³omicka 46;Zapytaj o c;41,41;;2;parter;;;;;;pierwotny;2021;;;;;;;26,77;;;;
Gdañsk;Ujeœcisko-£ostowice;Ul. Niepo³omicka 46;Zapytaj o c;51,08;;3;parter;;;1;;razem;pierwotny;2021;;;;;;aneks;16,85;blok;bloczki;;
Gdañsk;Ujeœcisko-£ostowice;Ul. Niepo³omicka 46;Zapytaj o c;56,36;;3;parter;;;;;;pierwotny;2021;;;;;;;24,07;;;;
Gdañsk;Ujeœcisko-£ostowice;Ul. Niepo³omicka 46;Zapytaj o c;72,18;;4;1;;;;;;pierwotny;2021;;Tak;;4,54;;;;;;;
Gdañsk;Œródmieœcie;RzeŸnicka;545 000;52,16;10 448,62;2;2 / 4;4;;;;;wtórny;2021;;;;;;;;Blok Mieszkalny;;;
Gdañsk;Stare Miasto;Ogarna;895 000;53,06;16 867,70;3;1 / 3;3;;;;;wtórny;1950;;;;;;;;Kamienica;ceg³a;;
Gdañsk;Piecki-Migowo;Piecki;489 000;70,40;6946,02;3;4 / 4;4;1;1;8;osobno;wtórny;1983;;Tak;Nie;6;;osobna;;blok;;bardzo dobry;
Gdañsk;Wrzeszcz;Ludwika Waryñskiego;949 000;110,72;8571,17;4;1 / 3;3;;1;;;wtórny;1913;;Tak;;;;ODDZIELNA;;KAMIENICA;CEG£A;;BARDZO WYSOKI STANDARD
Gdañsk;Zaspa;al. Jana Paw³a II;999 900;83,00;12 046,99;4;7 / 12;12;;1;;;wtórny;2016;;Tak;;;;ANEKS KUCHENNY;;APARTAMENTOWIEC;;;BARDZO WYSOKI STANDARD
Gdañsk;Œródmieœcie;œw. Barbary;620 000;53,50;11 588,79;2;1;;;1;;;wtórny;2018;;Tak;;;;Z OKNEM;;APARTAMENTOWIEC;;;BARDZO WYSOKI STANDARD
Gdañsk;Orunia Górna;gen. Kazimierza Sosnkowskiego;799 000;118,00;6771,19;5;3 / 3;3;;2;;;wtórny;2005;;Tak;;;;OTWARTA;;NISKI BLOK;;;BARDZO WYSOKI STANDARD
Gdañsk;¯abianka-Wejhera-Jelitkowo-Tysi¹clecia;Wypoczynkowa;1 299 000;65,00;19 984,62;3;1 / 3;3;1;1;;razem;wtórny;2009;;Tak;Nie;6;;aneks;;apartamentowiec;;bardzo dobry;
Gdañsk;Jasieñ;ul. Lawendowe Wzgórza;Zapytaj o c;57,34;;3;1;;;;;;pierwotny;2021;;Tak;;6,4;;;;;;;
Gdañsk;Che³m;Nieborowska;439 000;47,00;9340,43;2;3 / 3;3;;;;;wtórny;2003;;Tak;;;;ODDZIELNA;;NISKI BLOK;;;WYSOKI STANDARD
Gdañsk M.;Gdañsk;BrzeŸno;1 495 250;112,00;13 350,45;4;;;;;;;pierwotny;2019;3;;Tak;77;;;;apartamentowiec;;;deweloperski
Gdañsk;Ujeœcisko;£ódzka;425 000;80,00;5312,50;3;3 / 3;3;;1;;;wtórny;1997;;Tak;;;;ODDZIELNA;;NISKI BLOK;;;DOBRY
Gdañsk;Wrzeszcz;ul. Mickiewicza;Zapytaj o c;60,52;;3;2;;;;;;pierwotny;2021;;;;;;aneks;;;;;
Gdañsk;Wrzeszcz;ul. Mickiewicza;Zapytaj o c;64,59;;3;2;;;;;;pierwotny;2021;;;;;;aneks;;;;;
Gdañsk;Wrzeszcz;ul. Mickiewicza;Zapytaj o c;66,56;;3;1;;;;;;pierwotny;2021;;;;;;aneks;;;;;
Gdañski;Gdañsk;Przymorze,;720 000;59,72;12 056,26;3;14 / 16;16;;;;;wtórny;2016;;Tak;Nie;;;brak;;;;Wysoki standard;
Gdañsk;Dolne Miasto;Przyokopowa;299 900;31,00;9674,19;2;1 / 3;3;;1;;;wtórny;1960;;;;;;Z OKNEM;;KAMIENICA;CEG£A;;DO REMONTU
Gdañsk;Orunia-Œw. Wojciech-Lipce;ul. Starogardzka/W. Jagie³³y;Zapytaj o c;39,95;;2;3;;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Orunia-Œw. Wojciech-Lipce;ul. Starogardzka/W. Jagie³³y;Zapytaj o c;45,52;;2;3;;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Orunia-Œw. Wojciech-Lipce;ul. Starogardzka/W. Jagie³³y;Zapytaj o c;52,84;;3;2;;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk;Orunia-Œw. Wojciech-Lipce;ul. Starogardzka/W. Jagie³³y;Zapytaj o c;52,71;;3;3;;;;;;pierwotny;2021;;;;;;;;;;;
Gdañsk M.;Gdañs;;768 384;58,00;13 248;3;1;;;1;;;wtórny;2019;2;;;;;aneks kuchenny - po³¹czony z jadalni¹;;apartamentowiec;;;deweloperski
Gdañsk M.;Gdañsk;BrzeŸno;868 000;65,00;13 353,85;3;;;;;;;pierwotny;2019;;;;;;;;apartamentowiec;;;deweloperski
Gdañsk;¯abianka;GOSPODY;449 000;52,60;8536,12;3;10 / 10;10;;;;;wtórny;1979;;Tak;Nie;;;osobna;;;;Do odœwie¿enia;
Gdañsk;Wrzeszcz;KILIÑSKIEGO JANA;330 000;30,00;11 000;1;1 / 3;3;;;;;wtórny;1965;;Nie;Nie;;;osobna;;;;Bardzo dobry;
Gdañsk;Stogi;Niska;260 000;26,00;10 000;1;2 / 4;4;;;;;wtórny;1970;;Nie;Nie;;;pó³otwarta;;;;Dobry;
Gdañsk;Œródmieœcie;Wyspa Spichrzów,;390 000;28,00;13 928,57;1;10 / 10;10;1;1;3,5;razem;wtórny;1970;;Tak;Nie;1;;wnêka;;blok;zró¿nicowany;do remontu;
Gdañsk;Anny Jagiellonk;;495 000;53,00;9339,62;3;parter / 4;4;;;;;wtórny;2004;;;;;;;;NISKI BLOK;;;DO REMONTU
Gdañsk;Wrzeszc;;335 000;32,50;10 307,69;2;6 / 8;8;;;;;wtórny;;;;;;;;;;;;
Gdañsk;Juliusza S³owackieg;;495 000;50,60;9782,61;2;7 / 16;16;;;;;wtórny;2009;;;;;;OTWARTA;;APARTAMENTOWIEC;;;
Gdañsk;Przymorze;Prezydenta Lecha Kaczyñskiego;1 395 000;91,00;15 329,67;4;1 / 16;16;;;;;wtórny;2012;;;;;;ODDZIELNA;;APARTAMENTOWIEC;;;
Gdañsk;Stogi;Ho¿a;269 000;36,00;7472,22;2;parter / 4;4;;;;;wtórny;1967;;;;;;;;Blok;;;do wprowadzenia
Gdañsk;Jasieñ;Aleksandry Gabrysiak;398 000;44,80;8883,93;2;1 / 3;3;;;;;wtórny;2014;;;;;;ANEKS KUCHENNY;;BLOK;;;
Gdañsk;Œl¹sk;;1 125 000;93,00;12 096,77;4;5 / 6;6;;;;;wtórny;2019;;;;;;OTWARTA;;APARTAMENTOWIEC;;;
Gdañsk;Przymorze;Ul. D¹browszczaków 22;1 395 000;91,00;15 329,67;4;1;;;;;;wtórny;2012;;Tak;;;;;;;ceg³a;;
Gdañsk;Przymorze;Œl¹ska;1 200 000;93,00;12 903,23;4;5 / 6;6;;;;;wtórny;;;;;;;;;;;;
Gdañsk;Kadetó;;322 000;32,50;9907,69;2;3 / 3;3;;;;;wtórny;1987;;;;;;ODDZIELNA;;BLOK;;;
Gdañsk;Przymorze;Marina Primore,;1 395 000;91,00;15 329,67;4;1 / 16;16;1;;;osobno;wtórny;2012;;Tak;Tak;;;osobna;;apartamentowiec;ceg³a;;wysoki standard
